Number,X,,Y,,Z,
,P,S,P,S,P,S
1,37.2,54.9,36.1,55.9,38.1,54.7
2,36.8,57.4,36.7,60.1,37.8,51.2
3,36.5,62.5,37.7,59.5,38.4,51
4,40.2,65.3,35.8,56.8,37.8,55.9
5,36.2,58.9,37.3,66.5,37.4,58
6,35.8,55.2,36.1,69.2,37.1,56.7
7,36.5,56.1,34.2,57.2,37.7,55
8,35.9,56.4,34.8,54.7,38.2,56.2
9,36.4,61.8,35.6,60,38.9,59.4
,,,,,,
weight,533.5,,,,,
After saturation,,,,,,
,,,,,,
X,75.04,,,,,
Y,76.03,,,,,
Z,76.48,,,,,
