Number,X,,Y,,Z,
,P,S,P,S,P,S
1,39.3,61.8,45.4,67.1,41.5,64
2,44.6,62.3,41.2,58.3,40.6,62.2
3,43.6,63.7,41.2,63.5,39.5,68.7
4,58,71.8,49.2,69.5,40.4,68.3
5,62.2,70.8,48.8,65.9,39.5,66.7
6,54.2,78.3,44.2,67.7,39.9,62.3
7,43.3,75.9,39.9,68.9,39.6,59.5
8,42.2,71.3,41.5,64.7,41.3,61.3
9,40.9,62.2,42.4,71.3,41.4,73.2
,,,,,,
weight,540.9,,,,,
After saturation,,,,,,
,,,,,,
X,73.93,,,,,
Y,75.59,,,,,
Z,74.85,,,,,
