Number,X,,Y,,Z,
,P,S,P,S,P,S
1,40.8,58.2,45,68.8,43.6,73
2,41.9,61.6,46.6,69.7,44.4,68.7
3,49.9,71.8,46.7,67.2,45.3,67.8
4,53.6,82.8,42.7,67,45.7,67
5,54.8,79.1,41.6,63.8,45.9,79.2
6,51.6,79.1,42.2,63.4,45.8,78.8
7,51,81.6,40.2,67.7,44,63.8
8,50.3,71.7,38.9,69.8,44.1,65.9
9,53.2,81,37.9,64.4,43.7,70.8
,,,,,,
weight,430.49,,,,,
After saturation,,,,,,
,,,,,,
X,59.62,,,,,
Y,76.73,,,,,
Z,76.54,,,,,
