Number,X,,Y,,Z,
,P,S,P,S,P,S
1,45.1,76.4,43,62,41.1,70.8
2,44.7,75.3,41.1,66.7,43.6,67.1
3,43.8,73.4,39.6,62,41.1,61.6
4,42.9,78.7,37.6,62.3,42.6,81.6
5,40.1,76.9,40.7,64.7,43.6,77.4
6,40.3,79.8,40.3,60.1,45.1,67.9
7,42.1,77.5,41.1,59.9,44.5,74.7
8,39.4,78.7,39.4,61.5,47.6,72.8
9,41.4,78.8,37.9,61.3,45.5,68.6
,,,,,,
weight,477,,,,,
After saturation,,,,,,
,,,,,,
X,73,,,,,
Y,70,,,,,
Z,71,,,,,
