Number,X,,Y,,Z,
,P,S,P,S,P,S
1,36.2,63.3,39.2,74.6,41.9,57.3
2,37.7,71.6,38.5,71.9,40.7,64.1
3,38.5,68.9,38.6,66.7,38.8,59.4
4,42.1,78.9,51.1,71,39.7,63.3
5,48.8,78.3,49.4,77.9,40.3,60.9
6,46.1,74.9,48.8,72.8,41.4,57.6
7,42.3,73.2,48.6,77.3,39.2,57.9
8,43.4,66.9,46.5,72.7,39.9,59.1
9,48.9,72,45.7,74,39.4,67.8
,,,,,,
weight,487.9,,,,,
After saturation,,,,,,
,,,,,,
X,74.9,,,,,
Y,74.51,,,,,
Z,70.24,,,,,
