Number,X,,Y,,Z,
,P,S,P,S,P,S
1,45,89.8,40.5,79.7,45.2,59.4
2,47.3,86.3,39.8,83.1,44.7,65
3,42.2,84.6,40.5,84,43.5,62.6
4,54.5,84.9,42.6,75.2,43.3,65.9
5,57.5,87.6,45.4,70,44.2,61.2
6,49.2,89.7,44.8,73,45,64.4
7,48.6,84.9,44.6,73.4,42.2,68.2
8,49,87.3,46.4,72.3,43.8,61.4
9,48.8,87.6,46.2,81.1,43.9,61.6
,,,,,,
weight,526.8,,,,,
After saturation,,,,,,
,,,,,,
X,72.73,,,,,
Y,76.28,,,,,
Z,74.68,,,,,
