Number,X,,Y,,Z,
,P,S,P,S,P,S
1,40.1,53.5,37.8,67.9,40.5,64.5
2,39.1,58.1,37.3,66.5,51,59.7
3,38.7,61.8,37.1,60.9,41.9,60.5
4,39.8,61,37.3,60.7,40.4,58
5,39.1,60.7,38.7,60.4,40.3,60.7
6,38.6,66.1,37.7,61.1,41,53.9
7,43.3,63.2,38,59.9,41.7,60.9
8,42.5,62.1,37,66.2,41.5,56.7
9,41.8,63,37.1,68,40.4,60
,,,,,,
weight,612.8,,,,,
After saturation,,,,,,
,,,,,,
X,82.11,,,,,
Y,76.48,,,,,
Z,76.5,,,,,
