Number,X,,Y,,Z,
,P,S,P,S,P,S
1,37.5,67.7,44.5,78,37.9,67.1
2,37.6,67.5,40.2,57,37.1,65.2
3,36.8,65.8,42.5,60.5,37.7,60.9
4,38,67.8,40,68.6,38.2,65.2
5,38.1,63.9,41.4,65.3,37.5,66.4
6,36.8,66.1,40,64.1,47.33,70.1
7,39,64.6,39.3,66.5,36.5,59.5
8,37.7,68.7,38.7,67.3,36.6,67.4
9,38,68.2,41.4,62.4,44,73.1
,,,,,,
weight,558.9,,,,,
After saturation,,,,,,
,,,,,,
X,69.82,,,,,
Y,83.09,,,,,
Z,76.44,,,,,
