Number,X,,Y,,Z,
,P,S,P,S,P,S
1,39.1,60.1,40,82.7,42.3,69.7
2,38.6,58.3,41.2,73.7,43.5,73.6
3,40.3,56.6,45.4,74.5,40.3,73.3
4,37.2,58.3,34.5,67.5,41.2,76.5
5,38.3,59.3,36.3,64.5,41.1,70.9
6,38.1,62.3,36.7,66.2,40.6,75
7,37.6,61.1,35.9,74.9,39.9,67.1
8,36.7,63.3,32.4,70.7,40.7,65.7
9,38.3,58,33,73.3,41,66.3
,,,,,,
weight,436.1,,,,,
After saturation,,,,,,
,,,,,,
X,74.53,,,,,
Y,64.88,,,,,
Z,73.35,,,,,
